,1,2,3,4,5,6,7,8,9,10,11,12,13
81,0.041,0.043,0.028,0.019,0.035,0.017,0.005,0.011,,,,,
82,0.092,0.037,0.013,0.032,0.004,0.007,0.025,0.016,0.003,0.004,,,
83,0.021,0.012,0.029,0.029,0.02,0.011,0.04,0.026,,,,,
84,0.02,0.002,0.015,0.004,0.001,0.001,,,,,,,
85,0.026,0.037,0.032,0.034,0.035,0.0,0.026,0.02,0.0,,,,
86,0.033,0.0,0.009,0.004,0.007,0.006,0.014,,,,,,
87,0.028,0.009,0.007,0.026,0.005,0.0,0.024,0.004,0.017,,,,
88,0.012,0.022,0.0,0.0,0.034,0.004,0.006,0.02,0.0,0.028,,,
89,0.074,0.007,0.03,0.028,0.031,0.002,0.057,0.0,0.005,0.039,0.025,,
90,0.004,0.0,0.001,0.002,0.009,0.007,0.0,0.0,,,,,
91,0.037,0.012,0.005,0.003,0.001,0.03,0.009,0.007,,,,,
92,0.009,0.023,0.014,0.002,0.002,0.031,0.004,0.0,,,,,
93,0.011,0.009,0.004,0.004,0.003,0.005,0.0,,,,,,
94,0.015,0.0,0.007,0.0,0.0,0.0,0.001,0.0,,,,,
95,0.044,0.014,0.007,0.025,0.036,0.047,0.037,0.008,,,,,
96,0.014,0.0,0.004,0.036,0.005,0.005,0.043,0.022,,,,,
97,0.059,0.068,0.005,0.001,0.001,0.011,0.005,0.043,,,,,
98,0.025,0.0,0.001,0.002,0.006,0.08,0.038,0.017,,,,,
99,0.015,0.002,0.027,0.029,0.001,0.015,0.016,0.009,,,,,
100,0.012,0.013,0.0,0.031,0.0,0.038,0.0,0.002,,,,,
101,0.002,0.056,0.064,0.04,0.022,0.03,0.002,0.007,0.005,0.013,,,
102,0.018,0.017,0.012,0.018,0.001,0.016,0.005,0.01,0.005,,,,
103,0.007,0.011,0.0,0.002,0.001,0.006,0.0,0.001,0.0,0.0,,,
104,0.04,0.0,0.001,0.003,0.0,0.0,0.019,0.005,0.0,0.0,0.0,0.007,0.009
105,0.01,0.0,0.0,0.004,0.012,0.025,0.008,0.001,0.012,,,,
Mean per turn,0.026760000000000003,0.01576,0.012599999999999998,0.01512,0.01088,0.01576,0.016,0.01040909090909091,0.0047,0.013999999999999999,0.0125,0.007,0.009
