,1,2,3,4,5,6,7,8,9,10,11,12,13
81,0.041,0.002,0.0,0.0,0.0,0.001,0.0,0.002,,,,,
82,0.092,0.0,0.0,0.003,0.004,0.002,0.002,0.001,0.003,0.0,,,
83,0.021,0.005,0.001,0.0,0.001,0.0,0.04,0.001,,,,,
84,0.02,0.002,0.005,0.001,0.001,0.0,,,,,,,
85,0.026,0.007,0.031,0.018,0.001,0.0,0.0,0.0,0.0,,,,
86,0.033,0.001,0.0,0.002,0.001,0.0,0.0,,,,,,
87,0.028,0.0,0.004,0.0,0.005,0.0,0.024,0.0,0.014,,,,
88,0.012,0.003,0.0,0.0,0.0,0.004,0.0,0.02,0.0,0.0,,,
89,0.074,0.007,0.03,0.0,0.003,0.001,0.057,0.001,0.005,0.04,0.001,,
90,0.004,0.0,0.0,0.001,0.009,0.001,0.0,0.0,,,,,
91,0.037,0.0,0.003,0.001,0.001,0.027,0.001,0.007,,,,,
92,0.009,0.0,0.0,0.001,0.002,0.007,0.001,0.0,,,,,
93,0.011,0.001,0.001,0.004,0.006,0.0,0.0,,,,,,
94,0.015,0.0,0.007,0.0,0.0,0.0,0.001,0.0,,,,,
95,0.044,0.014,0.001,0.025,0.036,0.047,0.001,0.008,,,,,
96,0.014,0.0,0.004,0.031,0.0,0.0,0.026,0.015,,,,,
97,0.059,0.068,0.0,0.001,0.0,0.014,0.0,0.0,,,,,
98,0.025,0.001,0.0,0.002,0.002,0.048,0.032,0.001,,,,,
99,0.015,0.0,0.027,0.002,0.001,0.018,0.011,0.014,,,,,
100,0.012,0.0,0.0,0.107,0.0,0.038,0.0,0.004,,,,,
101,0.002,0.001,0.0,0.0,0.023,0.003,0.001,0.009,0.005,0.0,,,
102,0.018,0.004,0.007,0.003,0.001,0.005,0.0,0.0,0.0,,,,
103,0.007,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,
104,0.04,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.024,0.0,0.0,0.007,0.0
105,0.01,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.012,,,,
Mean per turn,0.026760000000000003,0.004720000000000001,0.00484,0.00824,0.00392,0.00864,0.009166666666666668,0.003772727272727273,0.0063,0.006666666666666667,0.0005,0.007,0.0
