,1,2,3,4,5,6,7,8,9,10,11,12,13
81,0.041,0.042,0.03,0.019,0.035,0.017,0.005,0.011,,,,,
82,0.092,0.037,0.017,0.032,0.019,0.009,0.02,0.016,0.017,0.003,,,
83,0.021,0.022,0.029,0.03,0.019,0.016,0.037,0.026,,,,,
84,0.02,0.02,0.018,0.003,0.004,0.012,,,,,,,
85,0.025,0.037,0.022,0.036,0.035,0.022,0.027,0.022,0.008,,,,
86,0.033,0.0,0.006,0.01,0.014,0.006,0.014,,,,,,
87,0.028,0.005,0.007,0.026,0.01,0.0,0.029,0.021,0.019,,,,
88,0.012,0.023,0.028,0.018,0.034,0.001,0.013,0.049,0.006,0.03,,,
89,0.074,0.007,0.033,0.028,0.031,0.006,0.057,0.012,0.027,0.069,0.032,,
90,0.004,0.008,0.009,0.009,0.014,0.009,0.018,0.006,,,,,
91,0.044,0.015,0.023,0.004,0.004,0.027,0.018,0.01,,,,,
92,0.009,0.023,0.022,0.012,0.022,0.031,0.001,0.0,,,,,
93,0.011,0.009,0.004,0.004,0.001,0.002,0.0,,,,,,
94,0.015,0.011,0.01,0.007,0.0,0.0,0.005,0.007,,,,,
95,0.044,0.028,0.011,0.025,0.055,0.047,0.037,0.026,,,,,
96,0.014,0.0,0.004,0.036,0.005,0.006,0.05,0.02,,,,,
97,0.022,0.065,0.023,0.002,0.001,0.038,0.006,0.044,,,,,
98,0.025,0.006,0.003,0.004,0.022,0.076,0.035,0.017,,,,,
99,0.015,0.001,0.034,0.039,0.025,0.041,0.04,0.025,,,,,
100,0.012,0.035,0.021,0.106,0.046,0.038,0.013,0.004,,,,,
101,0.002,0.056,0.064,0.054,0.022,0.03,0.012,0.008,0.011,0.026,,,
102,0.029,0.017,0.012,0.018,0.007,0.016,0.021,0.004,0.013,,,,
103,0.015,0.022,0.013,0.011,0.008,0.03,0.0,0.002,0.038,0.021,,,
104,0.04,0.0,0.01,0.004,0.0,0.007,0.02,0.005,0.024,0.005,0.0,0.009,0.01
105,0.01,0.05,0.01,0.018,0.012,0.025,0.008,0.0,0.012,,,,
Mean per turn,0.02628,0.021560000000000003,0.018520000000000002,0.0222,0.0178,0.020479999999999995,0.02025,0.015227272727272728,0.017499999999999998,0.025666666666666667,0.016,0.009,0.01
